ACK_ID,SCH_H_PLAN_YEAR_BEGIN_DATE,SCH_H_TAX_PRD,SCH_H_PN,SCH_H_EIN,NON_INT_BEAR_CASH_BOY_AMT,EMPLR_CONTRIB_BOY_AMT,PARTCP_CONTRIB_BOY_AMT,OTHER_RECEIVABLES_BOY_AMT,INT_BEAR_CASH_BOY_AMT,GOVT_SEC_BOY_AMT,CORP_DEBT_PREFERRED_BOY_AMT,CORP_DEBT_OTHER_BOY_AMT,PREF_STOCK_BOY_AMT,COMMON_STOCK_BOY_AMT,JOINT_VENTURE_BOY_AMT,REAL_ESTATE_BOY_AMT,OTHER_LOANS_BOY_AMT,PARTCP_LOANS_BOY_AMT,INT_COMMON_TR_BOY_AMT,INT_POOL_SEP_ACCT_BOY_AMT,INT_MASTER_TR_BOY_AMT,INT_103_12_INVST_BOY_AMT,INT_REG_INVST_CO_BOY_AMT,INS_CO_GEN_ACCT_BOY_AMT,OTH_INVST_BOY_AMT,EMPLR_SEC_BOY_AMT,EMPLR_PROP_BOY_AMT,BLDGS_USED_BOY_AMT,TOT_ASSETS_BOY_AMT,BNFTS_PAYABLE_BOY_AMT,OPRTNG_PAYABLE_BOY_AMT,ACQUIS_INDBT_BOY_AMT,OTHER_LIAB_BOY_AMT,TOT_LIABILITIES_BOY_AMT,NET_ASSETS_BOY_AMT,NON_INT_BEAR_CASH_EOY_AMT,EMPLR_CONTRIB_EOY_AMT,PARTCP_CONTRIB_EOY_AMT,OTHER_RECEIVABLES_EOY_AMT,INT_BEAR_CASH_EOY_AMT,GOVT_SEC_EOY_AMT,CORP_DEBT_PREFERRED_EOY_AMT,CORP_DEBT_OTHER_EOY_AMT,PREF_STOCK_EOY_AMT,COMMON_STOCK_EOY_AMT,JOINT_VENTURE_EOY_AMT,REAL_ESTATE_EOY_AMT,OTHER_LOANS_EOY_AMT,PARTCP_LOANS_EOY_AMT,INT_COMMON_TR_EOY_AMT,INT_POOL_SEP_ACCT_EOY_AMT,INT_MASTER_TR_EOY_AMT,INT_103_12_INVST_EOY_AMT,INT_REG_INVST_CO_EOY_AMT,INS_CO_GEN_ACCT_EOY_AMT,OTH_INVST_EOY_AMT,EMPLR_SEC_EOY_AMT,EMPLR_PROP_EOY_AMT,BLDGS_USED_EOY_AMT,TOT_ASSETS_EOY_AMT,BNFTS_PAYABLE_EOY_AMT,OPRTNG_PAYABLE_EOY_AMT,ACQUIS_INDBT_EOY_AMT,OTHER_LIAB_EOY_AMT,TOT_LIABILITIES_EOY_AMT,NET_ASSETS_EOY_AMT,EMPLR_CONTRIB_INCOME_AMT,PARTICIPANT_CONTRIB_AMT,OTH_CONTRIB_RCVD_AMT,NON_CASH_CONTRIB_BS_AMT,TOT_CONTRIB_AMT,INT_BEAR_CASH_AMT,INT_ON_GOVT_SEC_AMT,INT_ON_CORP_DEBT_AMT,INT_ON_OTH_LOANS_AMT,INT_ON_PARTCP_LOANS_AMT,INT_ON_OTH_INVST_AMT,TOTAL_INTEREST_AMT,DIVND_PREF_STOCK_AMT,DIVND_COMMON_STOCK_AMT,REGISTERED_INVST_AMT,TOTAL_DIVIDENDS_AMT,TOTAL_RENTS_AMT,AGGREGATE_PROCEEDS_AMT,AGGREGATE_COSTS_AMT,TOT_GAIN_LOSS_SALE_AST_AMT,UNREALZD_APPRCTN_RE_AMT,UNREALZD_APPRCTN_OTH_AMT,TOT_UNREALZD_APPRCTN_AMT,GAIN_LOSS_COM_TRUST_AMT,GAIN_LOSS_POOL_SEP_AMT,GAIN_LOSS_MASTER_TR_AMT,GAIN_LOSS_103_12_INVST_AMT,GAIN_LOSS_REG_INVST_AMT,OTHER_INCOME_AMT,TOT_INCOME_AMT,DISTRIB_DRT_PARTCP_AMT,INS_CARRIER_BNFTS_AMT,OTH_BNFT_PAYMENT_AMT,TOT_DISTRIB_BNFT_AMT,TOT_CORRECTIVE_DISTRIB_AMT,TOT_DEEMED_DISTR_PART_LNS_AMT,TOT_INT_EXPENSE_AMT,PROFESSIONAL_FEES_AMT,CONTRACT_ADMIN_FEES_AMT,INVST_MGMT_FEES_AMT,OTHER_ADMIN_FEES_AMT,TOT_ADMIN_EXPENSES_AMT,TOT_EXPENSES_AMT,NET_INCOME_AMT,TOT_TRANSFERS_TO_AMT,TOT_TRANSFERS_FROM_AMT,ACCTNT_OPINION_TYPE_CD,ACCT_PERFORMED_LTD_AUDIT_IND,ACCOUNTANT_FIRM_NAME,ACCOUNTANT_FIRM_EIN,ACCT_OPIN_NOT_ON_FILE_IND,FAIL_TRANSMIT_CONTRIB_IND,FAIL_TRANSMIT_CONTRIB_AMT,LOANS_IN_DEFAULT_IND,LOANS_IN_DEFAULT_AMT,LEASES_IN_DEFAULT_IND,LEASES_IN_DEFAULT_AMT,PARTY_IN_INT_NOT_RPTD_IND,PARTY_IN_INT_NOT_RPTD_AMT,PLAN_INS_FDLTY_BOND_IND,PLAN_INS_FDLTY_BOND_AMT,LOSS_DISCV_DUR_YEAR_IND,LOSS_DISCV_DUR_YEAR_AMT,ASSET_UNDETERM_VAL_IND,ASSET_UNDETERM_VAL_AMT,NON_CASH_CONTRIB_IND,NON_CASH_CONTRIB_AMT,AST_HELD_INVST_IND,FIVE_PRCNT_TRANS_IND,ALL_PLAN_AST_DISTRIB_IND,FAIL_PROVIDE_BENEFIT_DUE_IND,FAIL_PROVIDE_BENEFIT_DUE_AMT,PLAN_BLACKOUT_PERIOD_IND,COMPLY_BLACKOUT_NOTICE_IND,RES_TERM_PLAN_ADPT_IND,RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,COVERED_PBGC_INSURANCE_IND
20150715105826P040093285543001,2014-01-01,2014-12-31,003,042041968,983,,,,,,,,,,,,,,,,,,15031829,,,42646106,,,57678918,,,,1000,1000,57677918,983,,,,,,,,,,,,,,,,,,16012734,,,47589239,,,63602956,,,,1000,1000,63601956,313695,,,,313695,,,,,,,0,,,,0,,,,0,,,0,,,,,,7994879,8308574,2384536,,,2384536,,,,,,,,0,2384536,5924038,,,1,2,"SPARROW & COMPANY, CPA'S",050431790,,2,,2,,2,,2,,1,1700000,2,,2,,2,,1,2,2,2,,2,,2,,,,
20150708134552P030100806673001,2014-01-01,2014-12-31,003,042557451,0,,,,,,,,,,,,,,,,,,,,,61322500,,,61322500,,,5483794,,5483794,55838706,0,,,,,,,,,,,,,,,,,,,,,80750000,,,80750000,,,5297784,,5297784,75452216,1637334,,,,1637334,,,,,,,0,,427619,,427619,,,,0,,19427500,19427500,,,,,,,21492453,1577334,,,1577334,,,301609,,,,,0,1878943,19613510,,,1,2,"FEELEY & DRISCOLL, P.C.",042684828,,2,,2,,2,,2,,1,10000000,2,,2,,2,,1,2,2,2,,2,,2,,,,
20150716102036P040117020145001,2014-01-01,2014-12-31,001,043130168,0,400000,0,0,370508,0,0,0,0,0,0,0,0,109217,0,0,0,0,14331502,,0,0,0,0,15211227,0,0,0,0,0,15211227,0,125000,0,0,410647,0,0,0,0,0,0,0,0,90773,0,0,0,0,16405558,,0,0,0,0,17031978,0,0,0,0,0,17031978,125000,872252,202508,0,1199760,46,0,0,0,3543,0,3589,0,0,1002588,1002588,0,0,0,0,0,0,0,0,0,0,0,240931,0,2446868,622269,0,0,622269,0,1393,0,0,0,700,1755,2455,626117,1820751,0,,3,1,"CLARKE, SNOW & RILEY, LLP",043428691,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,2,2,,,,
20150618093257P030061115265001,2014-01-01,2014-12-31,002,461710155,,380560,,,,,,,,,,,,,,2385463,,,5088965,2517809,,0,,,10372797,,,,,0,10372797,,205911,,,,,,,,,,,,,,2408187,,,4938851,2573738,,962332,,,11089019,,,,,0,11089019,529642,581216,42800,,1153658,,,,,,43222,43222,,,60528,60528,,98943,96982,1961,0,115809,115809,,191482,,,193803,1285,1761748,1001495,,,1001495,,,,500,43531,,,44031,1045526,716222,,,1,2,"KAHN, LITWIN, RENZA & CO., LTD",050409384,,2,,2,,2,,2,,1,5000000,2,,2,,2,,1,2,2,2,,2,,2,,,,
20150624112851P040059452167001,2014-01-01,2014-12-31,003,461710155,,0,0,0,0,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,,54,0,0,0,,,,,,,,,,,,,,,,,4600753,,,4600807,,,,3849608,3849608,751199,233529,0,0,,233529,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,641413,641413,0,0,0,0,0,0,874942,0,0,0,0,0,,123743,0,0,0,0,0,123743,751199,0,,1,2,"KAHN, LITWIN, RENZA & CO., LTD.",050409384,,2,0,2,0,2,0,2,0,1,5000000,2,,2,,2,,1,2,2,2,,2,,2,,,,
20150716142859P040117443601001,2014-01-01,2014-12-31,002,041123040,9872,0,,1564,61908,,,,,,,,,1247747,413524,,,,27854473,,,,,,29589088,,,,,,29589088,39654,1591972,,1617,65599,,,,,,,,,1190612,626387,,,,30841369,,,,,,34357210,,,,,,34357210,3246432,1178079,122703,,4547214,3,,,,48875,,48878,,,457494,457494,,,,,,,,5669,,,,1460777,,6520032,1705337,,,1705337,,,,9000,,7500,30073,46573,1751910,4768122,,,3,1,"GRAY, GRAY & GRAY",042088368,,1,26525,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,2,2,,,,
20150701135004P040027481965001,2014-01-01,2014-12-31,002,043312097,,477,473,,,,,,,14629,,,,1501055,,,,,62055798,,0,4656025,,,68228457,,,,,0,68228457,,0,0,,,,,,,0,,,,1633971,,,,,66640424,,103355,4466704,,,72844454,,,,,0,72844454,2965148,3196230,1196472,,7357850,,,,,62639,,62639,,115335,1538942,1654277,,946420,1039221,-92801,,-17599,-17599,,,,,3049263,21383,12035012,7385713,,698,7386411,,10029,,,,,22575,22575,7419015,4615997,,,1,2,PRICEWATERHOUSECOOPERS LLP,134008324,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,
20150716153206P040037022749001,2014-01-01,2014-12-31,001,455603992,,0,0,,33242,,,,,,,,,,,,,,3868408,,,,,,3901650,,,,,0,3901650,,0,0,,29915,,,,,,,,,,,,,,4284685,,,,,,4314600,,,,,0,4314600,67935,453043,95898,,616876,3,,,,,,3,,,,0,,,,0,,,0,,,,,154165,,771044,347014,,,347014,,,,10000,,,1080,11080,358094,412950,,,3,1,"QRGA, LLP",043564919,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,
20150630073747P040068560727001,2014-01-01,2014-12-31,002,043130808,0,0,0,0,1709261,0,0,0,0,0,0,0,0,1222144,0,0,0,0,24848773,,0,508395,0,0,28288573,0,0,0,0,0,28288573,0,0,0,0,1423665,0,0,0,0,0,0,0,0,1258257,0,0,0,0,24928267,,0,4753608,0,0,32363797,0,0,0,0,0,32363797,1415426,1847755,1012877,0,4276058,302,0,0,0,64049,0,64351,0,53,1615494,1615547,0,93276,155442,-62166,0,613385,613385,0,0,0,0,148140,0,6655315,2577273,0,0,2577273,0,-13242,0,0,0,664,15396,16060,2580091,4075224,0,,1,2,"WOLF & COMPANY, P.C.",042689883,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,2,2,,,,
20150715104154P030097984071001,2014-01-01,2014-12-31,003,042041968,983,,,,,,,,,,,,,,,,,,15031829,,,42646106,,,57678918,,,,1000,1000,57677918,983,,,,,,,,,,,,,,,,,,16012734,,,47589239,,,63602956,,,,1000,1000,63601956,313695,,,,313695,,,,,,,0,,,,0,,,,0,,,0,,,,,,7994879,8308574,2384536,,,2384536,,,,,,,,0,2384536,5924038,,,1,2,"SPARROW & COMPANY, CPA'S",050431790,,2,,2,,2,,2,,1,1700000,2,,2,,2,,1,2,2,2,,2,,2,,,,
