ACK_ID,SCH_H_PLAN_YEAR_BEGIN_DATE,SCH_H_TAX_PRD,SCH_H_PN,SCH_H_EIN,NON_INT_BEAR_CASH_BOY_AMT,EMPLR_CONTRIB_BOY_AMT,PARTCP_CONTRIB_BOY_AMT,OTHER_RECEIVABLES_BOY_AMT,INT_BEAR_CASH_BOY_AMT,GOVT_SEC_BOY_AMT,CORP_DEBT_PREFERRED_BOY_AMT,CORP_DEBT_OTHER_BOY_AMT,PREF_STOCK_BOY_AMT,COMMON_STOCK_BOY_AMT,JOINT_VENTURE_BOY_AMT,REAL_ESTATE_BOY_AMT,OTHER_LOANS_BOY_AMT,PARTCP_LOANS_BOY_AMT,INT_COMMON_TR_BOY_AMT,INT_POOL_SEP_ACCT_BOY_AMT,INT_MASTER_TR_BOY_AMT,INT_103_12_INVST_BOY_AMT,INT_REG_INVST_CO_BOY_AMT,INS_CO_GEN_ACCT_BOY_AMT,OTH_INVST_BOY_AMT,EMPLR_SEC_BOY_AMT,EMPLR_PROP_BOY_AMT,BLDGS_USED_BOY_AMT,TOT_ASSETS_BOY_AMT,BNFTS_PAYABLE_BOY_AMT,OPRTNG_PAYABLE_BOY_AMT,ACQUIS_INDBT_BOY_AMT,OTHER_LIAB_BOY_AMT,TOT_LIABILITIES_BOY_AMT,NET_ASSETS_BOY_AMT,NON_INT_BEAR_CASH_EOY_AMT,EMPLR_CONTRIB_EOY_AMT,PARTCP_CONTRIB_EOY_AMT,OTHER_RECEIVABLES_EOY_AMT,INT_BEAR_CASH_EOY_AMT,GOVT_SEC_EOY_AMT,CORP_DEBT_PREFERRED_EOY_AMT,CORP_DEBT_OTHER_EOY_AMT,PREF_STOCK_EOY_AMT,COMMON_STOCK_EOY_AMT,JOINT_VENTURE_EOY_AMT,REAL_ESTATE_EOY_AMT,OTHER_LOANS_EOY_AMT,PARTCP_LOANS_EOY_AMT,INT_COMMON_TR_EOY_AMT,INT_POOL_SEP_ACCT_EOY_AMT,INT_MASTER_TR_EOY_AMT,INT_103_12_INVST_EOY_AMT,INT_REG_INVST_CO_EOY_AMT,INS_CO_GEN_ACCT_EOY_AMT,OTH_INVST_EOY_AMT,EMPLR_SEC_EOY_AMT,EMPLR_PROP_EOY_AMT,BLDGS_USED_EOY_AMT,TOT_ASSETS_EOY_AMT,BNFTS_PAYABLE_EOY_AMT,OPRTNG_PAYABLE_EOY_AMT,ACQUIS_INDBT_EOY_AMT,OTHER_LIAB_EOY_AMT,TOT_LIABILITIES_EOY_AMT,NET_ASSETS_EOY_AMT,EMPLR_CONTRIB_INCOME_AMT,PARTICIPANT_CONTRIB_AMT,OTH_CONTRIB_RCVD_AMT,NON_CASH_CONTRIB_BS_AMT,TOT_CONTRIB_AMT,INT_BEAR_CASH_AMT,INT_ON_GOVT_SEC_AMT,INT_ON_CORP_DEBT_AMT,INT_ON_OTH_LOANS_AMT,INT_ON_PARTCP_LOANS_AMT,INT_ON_OTH_INVST_AMT,TOTAL_INTEREST_AMT,DIVND_PREF_STOCK_AMT,DIVND_COMMON_STOCK_AMT,REGISTERED_INVST_AMT,TOTAL_DIVIDENDS_AMT,TOTAL_RENTS_AMT,AGGREGATE_PROCEEDS_AMT,AGGREGATE_COSTS_AMT,TOT_GAIN_LOSS_SALE_AST_AMT,UNREALZD_APPRCTN_RE_AMT,UNREALZD_APPRCTN_OTH_AMT,TOT_UNREALZD_APPRCTN_AMT,GAIN_LOSS_COM_TRUST_AMT,GAIN_LOSS_POOL_SEP_AMT,GAIN_LOSS_MASTER_TR_AMT,GAIN_LOSS_103_12_INVST_AMT,GAIN_LOSS_REG_INVST_AMT,OTHER_INCOME_AMT,TOT_INCOME_AMT,DISTRIB_DRT_PARTCP_AMT,INS_CARRIER_BNFTS_AMT,OTH_BNFT_PAYMENT_AMT,TOT_DISTRIB_BNFT_AMT,TOT_CORRECTIVE_DISTRIB_AMT,TOT_DEEMED_DISTR_PART_LNS_AMT,TOT_INT_EXPENSE_AMT,PROFESSIONAL_FEES_AMT,CONTRACT_ADMIN_FEES_AMT,INVST_MGMT_FEES_AMT,OTHER_ADMIN_FEES_AMT,TOT_ADMIN_EXPENSES_AMT,TOT_EXPENSES_AMT,NET_INCOME_AMT,TOT_TRANSFERS_TO_AMT,TOT_TRANSFERS_FROM_AMT,ACCTNT_OPINION_TYPE_CD,ACCT_PERFORMED_LTD_AUDIT_IND,ACCOUNTANT_FIRM_NAME,ACCOUNTANT_FIRM_EIN,ACCT_OPIN_NOT_ON_FILE_IND,FAIL_TRANSMIT_CONTRIB_IND,FAIL_TRANSMIT_CONTRIB_AMT,LOANS_IN_DEFAULT_IND,LOANS_IN_DEFAULT_AMT,LEASES_IN_DEFAULT_IND,LEASES_IN_DEFAULT_AMT,PARTY_IN_INT_NOT_RPTD_IND,PARTY_IN_INT_NOT_RPTD_AMT,PLAN_INS_FDLTY_BOND_IND,PLAN_INS_FDLTY_BOND_AMT,LOSS_DISCV_DUR_YEAR_IND,LOSS_DISCV_DUR_YEAR_AMT,ASSET_UNDETERM_VAL_IND,ASSET_UNDETERM_VAL_AMT,NON_CASH_CONTRIB_IND,NON_CASH_CONTRIB_AMT,AST_HELD_INVST_IND,FIVE_PRCNT_TRANS_IND,ALL_PLAN_AST_DISTRIB_IND,FAIL_PROVIDE_BENEFIT_DUE_IND,FAIL_PROVIDE_BENEFIT_DUE_AMT,PLAN_BLACKOUT_PERIOD_IND,COMPLY_BLACKOUT_NOTICE_IND,RES_TERM_PLAN_ADPT_IND,RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,COVERED_PBGC_INSURANCE_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHON_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE
20160607135304P030109090577001,2015-01-01,2015-08-06,010,043312097,,,,,,,,,,,,,,290209,9774552,,,,,,,,,,10064761,,,,,0,10064761,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,279590,217460,721,,497771,,,,,3741,,3741,,,,0,,,,0,,,0,392697,,,,,,894209,10788108,,,10788108,,170862,,,,,,0,10958970,-10064761,,,1,2,JOHNSON OCONNOR FERON & CARUCCI LLP,203985546,,2,,2,,2,,2,,1,1000000,2,,2,,2,,2,2,1,2,,2,,1,0,,,,,,,,,,
20160713123512P030031986327001,2015-01-01,2015-12-31,001,042682840,,,,,3297784,,,,,,,,,362878,,,,,49095912,,,,,,52756574,,,,41617,41617,52714957,,508750,,0,3059748,0,0,0,0,0,0,0,0,392441,0,,,,49835269,,0,0,,,53796208,,19372,,45555,64927,53731281,912653,2471117,262842,0,3646612,121,0,0,,18273,0,18394,0,0,2816031,2816031,,,,0,,0,0,0,0,,,-2658248,,3822789,2751747,,0,2751747,,,0,,,,54718,54718,2806465,1016324,0,0,3,1,O'CONNOR & DREW PC,043000523,,1,20,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,
20160912121228P030026635735001,2015-01-01,2015-12-31,001,042803764,0,0,0,0,555995,0,0,0,0,838587,0,0,0,0,0,0,0,0,17662279,,0,0,0,0,19056861,0,0,0,0,0,19056861,10,0,0,0,364986,0,0,0,0,859034,0,0,0,159196,0,0,0,0,19601369,,0,0,0,0,20984595,0,0,0,0,0,20984595,1165002,1077532,107184,0,2349718,65,0,0,0,4911,0,4976,0,38817,1043793,1082610,0,836881,875788,-38907,0,-87567,-87567,0,0,0,0,-727776,0,2583054,642205,0,0,642205,10584,0,0,0,0,605,1926,2531,655320,1927734,0,,3,1,"GRAY, GRAY & GRAY, LLP",042088368,,2,,2,,2,,2,,1,550000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,
20160818160718P030017296295001,2015-01-01,2015-12-31,001,471008886,,,,,,,,,,,,,,13500,666149,,,,2322976,,,,,,3002625,,,,,0,3002625,,283321,14754,,,,,,,,,,,15179,725579,,,,3398288,,,,,,4437121,,,,63574,63574,4373547,376822,830296,224446,,1431564,,,,,624,,624,,,136516,136516,,,,0,,,0,-9590,,,,-165977,,1393137,14502,,,14502,7238,,,,,,475,475,22215,1370922,0,0,3,1,"WOLF & COMPANY, P.C.",042689883,,2,,2,,2,,2,,1,301000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,
20160912153755P040026629831001,2015-01-01,2015-12-31,001,521405842,0,74370,0,0,1746224,0,0,0,0,0,0,0,0,475297,0,0,0,0,51406520,,0,0,0,0,53702411,0,0,0,0,0,53702411,0,86520,0,0,1429353,0,0,0,0,0,0,0,0,644865,0,0,0,0,51460495,,0,0,0,0,53621233,0,0,0,0,0,53621233,1515711,3900346,277325,0,5693382,224,0,0,0,24406,0,24630,0,0,2963060,2963060,0,0,0,0,0,0,0,0,0,0,0,-3706146,0,4974926,5045287,0,0,5045287,3955,0,0,0,0,4532,2330,6862,5056104,-81178,0,,3,1,MAYER HOFFMAN MCCANN P.C.,431947695,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,
20160914102028P040031901441001,2015-01-01,2015-12-31,001,042224182,0,0,0,0,744178,0,0,0,0,0,0,0,0,225839,3196339,0,0,0,15289265,,66683,0,0,0,19522304,0,0,0,0,0,19522304,0,0,0,0,616392,0,0,0,0,0,0,0,0,177556,2815895,0,0,0,14566825,,30128,0,0,0,18206796,0,0,0,0,0,18206796,0,701172,47429,0,748601,105,0,0,0,9349,2476,11930,0,0,816427,816427,0,0,0,0,0,0,0,7265,0,0,0,-829988,0,754235,2051119,1606,0,2052725,14609,0,0,0,0,290,2119,2409,2069743,-1315508,0,,3,1,"BDO USA, LLP",135381590,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,
20160726132847P030055607633001,2015-01-01,2015-12-31,002,041466100,,499812,,,,,,,,,,,,264604,11882881,,,,,,,,,,12647297,,,,,0,12647297,,631837,,,,,,,,,,,,245368,13891142,,,,,,,,,,14768347,,,,,0,14768347,631837,1307722,255293,,2194852,,,,,9574,,9574,,,,0,,,,0,,,0,676709,,,,,,2881135,756276,,,756276,,3809,,,,,,0,760085,2121050,,,1,2,"WOLF & COMPANY, P.C.",042689883,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,
20160726133746P030050957943001,2015-01-01,2015-12-31,002,043497377,,,,,,,,,,,,,,228550,9428220,,,,,,,,,,9656770,,,,,0,9656770,,,,,,,,,,,,,,280630,10534268,,,,,,,,,,10814898,,,,,0,10814898,318961,505047,508462,,1332470,,,,,9783,,9783,,,,0,,,,0,,,0,723138,,,,,,2065391,883015,,,883015,,24248,,,,,,0,907263,1158128,,,1,2,"WHITTLESEY & HADLEY, P.C.",060903326,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,
20160725143330P040048202583001,2015-01-01,2015-12-31,003,041174490,,,,,86276,,,,,,,,,,,,,,,,,9198610,,,9284886,,,4173414,,4173414,5111472,,,,,142521,,,,,,,,,,,,,,,,,9275946,,,9418467,,,3926014,,3926014,5492453,493453,,,,493453,174,,,,,,174,,162236,,162236,,,,0,,313750,313750,,,,,,,969613,243662,,663,244325,,,344307,,,,,0,588632,380981,,,3,1,BERRY DUNN MCNEIL & PARKER LLC,010523282,,2,,2,,2,,2,,1,5000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,
20160724112249P030047101991001,2015-01-01,2015-12-31,002,043067724,,,,,,,,,,,,,,3210416,122289092,,,,,,,,,,125499508,,,,,0,125499508,,,,,,,,,,,,,,3295322,121855653,,,,,,,,,,125150975,,,,,0,125150975,2653351,5751301,535424,,8940076,,,,,135450,,135450,,,,0,,,,0,,,0,-909594,,,,,,8165932,8407089,,,8407089,,107376,,,,,,0,8514465,-348533,,,1,2,JOHNSON OCONNOR FERON & CARUCCI LLP,203985546,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,
