ACK_ID,SCH_H_PLAN_YEAR_BEGIN_DATE,SCH_H_TAX_PRD,SCH_H_PN,SCH_H_EIN,NON_INT_BEAR_CASH_BOY_AMT,EMPLR_CONTRIB_BOY_AMT,PARTCP_CONTRIB_BOY_AMT,OTHER_RECEIVABLES_BOY_AMT,INT_BEAR_CASH_BOY_AMT,GOVT_SEC_BOY_AMT,CORP_DEBT_PREFERRED_BOY_AMT,CORP_DEBT_OTHER_BOY_AMT,PREF_STOCK_BOY_AMT,COMMON_STOCK_BOY_AMT,JOINT_VENTURE_BOY_AMT,REAL_ESTATE_BOY_AMT,OTHER_LOANS_BOY_AMT,PARTCP_LOANS_BOY_AMT,INT_COMMON_TR_BOY_AMT,INT_POOL_SEP_ACCT_BOY_AMT,INT_MASTER_TR_BOY_AMT,INT_103_12_INVST_BOY_AMT,INT_REG_INVST_CO_BOY_AMT,INS_CO_GEN_ACCT_BOY_AMT,OTH_INVST_BOY_AMT,EMPLR_SEC_BOY_AMT,EMPLR_PROP_BOY_AMT,BLDGS_USED_BOY_AMT,TOT_ASSETS_BOY_AMT,BNFTS_PAYABLE_BOY_AMT,OPRTNG_PAYABLE_BOY_AMT,ACQUIS_INDBT_BOY_AMT,OTHER_LIAB_BOY_AMT,TOT_LIABILITIES_BOY_AMT,NET_ASSETS_BOY_AMT,NON_INT_BEAR_CASH_EOY_AMT,EMPLR_CONTRIB_EOY_AMT,PARTCP_CONTRIB_EOY_AMT,OTHER_RECEIVABLES_EOY_AMT,INT_BEAR_CASH_EOY_AMT,GOVT_SEC_EOY_AMT,CORP_DEBT_PREFERRED_EOY_AMT,CORP_DEBT_OTHER_EOY_AMT,PREF_STOCK_EOY_AMT,COMMON_STOCK_EOY_AMT,JOINT_VENTURE_EOY_AMT,REAL_ESTATE_EOY_AMT,OTHER_LOANS_EOY_AMT,PARTCP_LOANS_EOY_AMT,INT_COMMON_TR_EOY_AMT,INT_POOL_SEP_ACCT_EOY_AMT,INT_MASTER_TR_EOY_AMT,INT_103_12_INVST_EOY_AMT,INT_REG_INVST_CO_EOY_AMT,INS_CO_GEN_ACCT_EOY_AMT,OTH_INVST_EOY_AMT,EMPLR_SEC_EOY_AMT,EMPLR_PROP_EOY_AMT,BLDGS_USED_EOY_AMT,TOT_ASSETS_EOY_AMT,BNFTS_PAYABLE_EOY_AMT,OPRTNG_PAYABLE_EOY_AMT,ACQUIS_INDBT_EOY_AMT,OTHER_LIAB_EOY_AMT,TOT_LIABILITIES_EOY_AMT,NET_ASSETS_EOY_AMT,EMPLR_CONTRIB_INCOME_AMT,PARTICIPANT_CONTRIB_AMT,OTH_CONTRIB_RCVD_AMT,NON_CASH_CONTRIB_BS_AMT,TOT_CONTRIB_AMT,INT_BEAR_CASH_AMT,INT_ON_GOVT_SEC_AMT,INT_ON_CORP_DEBT_AMT,INT_ON_OTH_LOANS_AMT,INT_ON_PARTCP_LOANS_AMT,INT_ON_OTH_INVST_AMT,TOTAL_INTEREST_AMT,DIVND_PREF_STOCK_AMT,DIVND_COMMON_STOCK_AMT,REGISTERED_INVST_AMT,TOTAL_DIVIDENDS_AMT,TOTAL_RENTS_AMT,AGGREGATE_PROCEEDS_AMT,AGGREGATE_COSTS_AMT,TOT_GAIN_LOSS_SALE_AST_AMT,UNREALZD_APPRCTN_RE_AMT,UNREALZD_APPRCTN_OTH_AMT,TOT_UNREALZD_APPRCTN_AMT,GAIN_LOSS_COM_TRUST_AMT,GAIN_LOSS_POOL_SEP_AMT,GAIN_LOSS_MASTER_TR_AMT,GAIN_LOSS_103_12_INVST_AMT,GAIN_LOSS_REG_INVST_AMT,OTHER_INCOME_AMT,TOT_INCOME_AMT,DISTRIB_DRT_PARTCP_AMT,INS_CARRIER_BNFTS_AMT,OTH_BNFT_PAYMENT_AMT,TOT_DISTRIB_BNFT_AMT,TOT_CORRECTIVE_DISTRIB_AMT,TOT_DEEMED_DISTR_PART_LNS_AMT,TOT_INT_EXPENSE_AMT,PROFESSIONAL_FEES_AMT,CONTRACT_ADMIN_FEES_AMT,INVST_MGMT_FEES_AMT,OTHER_ADMIN_FEES_AMT,TOT_ADMIN_EXPENSES_AMT,TOT_EXPENSES_AMT,NET_INCOME_AMT,TOT_TRANSFERS_TO_AMT,TOT_TRANSFERS_FROM_AMT,ACCTNT_OPINION_TYPE_CD,ACCT_PERFORMED_LTD_AUDIT_IND,ACCOUNTANT_FIRM_NAME,ACCOUNTANT_FIRM_EIN,ACCT_OPIN_NOT_ON_FILE_IND,FAIL_TRANSMIT_CONTRIB_IND,FAIL_TRANSMIT_CONTRIB_AMT,LOANS_IN_DEFAULT_IND,LOANS_IN_DEFAULT_AMT,LEASES_IN_DEFAULT_IND,LEASES_IN_DEFAULT_AMT,PARTY_IN_INT_NOT_RPTD_IND,PARTY_IN_INT_NOT_RPTD_AMT,PLAN_INS_FDLTY_BOND_IND,PLAN_INS_FDLTY_BOND_AMT,LOSS_DISCV_DUR_YEAR_IND,LOSS_DISCV_DUR_YEAR_AMT,ASSET_UNDETERM_VAL_IND,ASSET_UNDETERM_VAL_AMT,NON_CASH_CONTRIB_IND,NON_CASH_CONTRIB_AMT,AST_HELD_INVST_IND,FIVE_PRCNT_TRANS_IND,ALL_PLAN_AST_DISTRIB_IND,FAIL_PROVIDE_BENEFIT_DUE_IND,FAIL_PROVIDE_BENEFIT_DUE_AMT,PLAN_BLACKOUT_PERIOD_IND,COMPLY_BLACKOUT_NOTICE_IND,RES_TERM_PLAN_ADPT_IND,RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,COVERED_PBGC_INSURANCE_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHON_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER,ACCT_PERF_LTD_AUDIT_103_8_IND,ACCT_PERF_LTD_AUDIT_103_12_IND,ACCT_PERF_NOT_LTD_AUDIT_IND
20221007150857NAL0016233617001,2021-01-01,2021-12-31,003,042777442,,165000,,,,,,,,,,,,,,,,,,,,19828844,,,19993844,,,,,0,19993844,,168000,,,,,,,,,,,,,,,,,,,,27285787,,,27453787,,,,,0,27453787,700000,,,,700000,,,,,,,0,,689608,,689608,,,,0,,6761335,6761335,,,,,85462,-64,8236341,776398,,,776398,,,,,,,,0,776398,7459943,,,1,,BAKER NEWMAN NOYES,010494526,,2,,2,,2,,2,,1,15000000,2,,2,,2,,1,1,2,2,,2,,2,,,,,,,,,,,,,,,,1
20221010085820NAL0019073729001,2021-01-01,2021-12-31,001,813645861,,128345,7505,,,,,,,,,,,1083270,8838944,4111001,,,136387770,,,,,,150556835,,,,,0,150556835,,181643,7950,,,,,,,,,,,918929,5532070,5832768,,,158367397,,,,,,170840757,,,,,0,170840757,2596406,7912183,979090,,11487679,,,,,50251,,50251,,,1527580,1527580,,,,0,,,0,-166165,1093671,,,19841295,268146,34102457,21729207,,462,21729669,,,,,320913,,,320913,22050582,12051875,8704259,472212,1,,CROWE LLP,350921680,,2,,2,,2,,2,,1,5000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,,
20221007163651NAL0011230691001,2021-01-01,2021-12-31,001,042550058,45079,5051,27920,5071,3638,,,,,,,,,408938,7802310,,,,2701000,,,,,,10999007,,,,37808,37808,10961199,1136,0,0,0,0,,,,,,,,,368888,9523029,,,,3062456,,,,,,12955509,,,,316,316,12955193,220808,1417009,24750,,1662567,,,,,20594,,20594,,,191167,191167,,,,0,,,0,1098221,,,,312351,2281,3287181,1226544,,,1226544,,,,31893,,34750,,66643,1293187,1993994,,,1,,"O'CONNOR & DREW, P.C.",043000523,,1,428,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,0,
20221010060412NAL0040203794001,2021-01-01,2021-12-31,001,203724403,,,,,,,,,,,,,,478667,,,,,38357116,,,,,,38835783,,,,,0,38835783,,,,,,,,,,,,,,499235,,,,,72220285,,,,,,72719520,,,,,0,72719520,1674549,3875852,23960237,,29510638,,,,,24578,,24578,,,2015178,2015178,,,,0,,,0,,,,,5074486,,36624880,2706101,,,2706101,,15217,,,,,19825,19825,2741143,33883737,0,0,1,,MINSK GOULD TATTRIE& LUSSIER LLP,364774142,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,0,0
20221007143422NAL0034038834001,2021-01-01,2021-12-31,001,043061714,,0,49000,,,,,,,,,,,166539,1937314,,,,31127260,,,,,,33280113,,,,,,33280113,,1538513,0,,,,,,,,,,,94623,1875263,,,,35962395,,,,,,39470794,,,,,,39470794,1538513,1807630,78625,,3424768,,,,,6870,,6870,,,2250661,2250661,,,,,,,,34547,,,,2510757,,8227603,1929066,,,1929066,,,,,,107856,,107856,2036922,6190681,,,1,,"CARON & BLETZER, PLLC",043499945,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,,
20220930092036NAL0005020995001,2021-01-01,2021-12-31,002,042741165,,,,,,,,,,,,,,110302,26860700,,,,11917186,3262264,,,,,42150452,,,,,0,42150452,,,,,,,,,,,,,,139245,30210826,,,,14256159,2410862,,,,,47017092,,,,,0,47017092,365924,1420364,67083,,1853371,,,,,3420,26547,29967,,,586301,586301,,,,0,,,0,3257132,,,,1052849,84381,6864001,1934347,,,1934347,,,,,,,63014,63014,1997361,4866640,,,3,,"LMHS, P.C.",042971374,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,,
20220620132906NAL0073355074001,2021-01-01,2021-12-31,007,041366970,,,,982,,,,,,368995,,,,,49218,,,,2636916,,,383269061,,,386325172,,,,,0,386325172,,,,880,,,,,,394829,,,,,633095,,,,2931697,,,431570987,,,435531488,,,,,0,435531488,,,,,0,,,,,,,0,,9248098,38471,9286569,,17889612,17239553,650059,,64418354,64418354,330,,,,486194,,74841506,25603130,,,25603130,,,,25871,35579,,,61450,25664580,49176926,515508,486118,1,,DELOITTE & TOUCHE LLP,133891517,,2,,2,,2,,2,,1,10000000,2,,2,,2,,1,1,2,2,,2,,2,,,,,,,,,,,,,,,,1
20220915111455NAL0038791904001,2021-01-01,2021-11-03,002,041967105,,10897,31552,,,,,,,,,,,204185,5488504,,,,34315235,,,,,,40050373,,,,,0,40050373,,0,0,,,,,,,,,,,0,0,,,,0,,,,,,0,,,,,0,0,619811,936290,40376,,1596477,,,,0,3428,,3428,,,210823,210823,,,,0,,,0,92490,,,,5312542,,7215760,12528034,,,12528034,11372,,,,23099,56168,,79267,12618673,-5402913,,34647460,1,,CITRIN COOPERMAN,222428965,,1,39107,2,,2,,2,,1,3000000,2,,2,,2,,2,2,1,2,,1,1,1,0,,,,,,,,,,,,,1,0,0
20220722152511NAL0005323968001,2021-01-01,2021-12-31,001,043175021,0,0,0,0,599958,0,0,0,0,0,0,0,0,242698,0,0,0,0,12485921,0,0,0,0,0,13328577,0,0,0,0,0,13328577,0,0,0,0,569243,0,0,0,0,0,0,0,0,275671,0,0,0,0,14233921,0,0,0,0,0,15078835,0,0,0,0,0,15078835,-905,758353,89153,0,846601,59,0,0,0,11866,0,11925,0,0,699824,699824,0,0,0,0,0,0,0,0,0,0,0,1313694,0,2872044,1059103,0,0,1059103,0,0,0,0,0,0,62683,62683,1121786,1750258,0,0,1,,"SULLIVAN AND FOLAN, LLC",043252952,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,,1,0,0
20220930134320NAL0005214803001,2021-01-01,2021-12-31,003,042272126,295,,,,,,,,,,,,,387115,,,,,26503170,3047710,,,,,29938290,,,,,0,29938290,,,,,,,,,,,,,,371727,,,,,32069924,2836455,,,,,35278106,,,,,0,35278106,235511,676691,60406,,972608,,,,,16299,62342,78641,,,,0,,,,0,,,0,,,,,4735517,,5786766,306531,,,306531,28978,,,,111441,,,111441,446950,5339816,,,1,,"CITRIN COOPERMAN & CO., LLP",222428965,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,0,0
20220915125616NAL0023100659001,2021-01-01,2021-12-31,004,043402944,0,0,0,0,21829,0,0,0,0,93806,0,0,0,2064629,7827485,0,0,0,102120488,0,0,0,0,0,112128237,0,0,0,0,0,112128237,0,0,0,0,24361,0,0,0,0,132243,0,0,0,1814254,6504753,0,0,0,120655957,0,0,0,0,0,129131568,0,0,0,0,0,129131568,3426061,5877254,1253616,0,10556931,2,0,0,0,103559,0,103561,0,2749,10390060,10392809,0,77,0,77,0,35688,35688,102536,0,0,0,6422154,57855,27671611,10525264,0,0,10525264,0,14449,0,0,0,34666,93901,128567,10668280,17003331,0,0,1,,"PKF O'CONNOR DAVIES, LLP",271728945,,2,,2,,2,,2,,1,5000000,2,,2,,2,,1,2,2,1,253,2,2,2,,,,,,,,,,,,,,1,0,0
20220930111647NAL0008466560001,2021-01-01,2021-12-31,001,042324804,,,,,,,,,,,,,,1273774,22475403,,,,29214612,,,,,,52963789,,,,,0,52963789,,,,,,,,,,,,,,1089153,25300962,,,,34008220,,,,,,60398335,,,,24870,24870,60373465,379606,2493886,179713,,3053205,,,,,72949,,72949,,,396373,396373,,,,0,,,0,2505886,,,,4545704,87,10574204,3426864,,,3426864,34867,,,,20933,,,20933,3482664,7091540,318136,,1,,"SULLIVAN AND FOLAN, LLC",043252952,,1,591,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,,
20220713073923NAL0027078160001,2021-06-28,2021-09-30,005,042631963,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,891807419,,,891807419,,,,,0,891807419,,,,,0,,,,,,,0,,,,0,,,,0,,557190637,557190637,,,,,,,557190637,10809195,,,10809195,,,,,,,,0,10809195,546381442,345425977,,,,,,2,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,,,,,,,,,,,,,,,0,0,0
20220712074502NAL0022369889001,2021-01-01,2021-12-31,003,043067724,,,,,,,,,,,,,,,,,,,,,,243682034,,,243682034,,,,149440083,149440083,94241951,,,,,1190194,,,,,,,,,,,,,,,,,301273765,,,302463959,,,,146371155,146371155,156092804,4597795,,,,4597795,306,,,,,,306,,,4481682,4481682,,,,0,,57651853,57651853,,,,,19497,,66751133,98217,,,98217,,,4802063,,,,,0,4900280,61850853,,,1,,"WOLF & COMPANY, P. C.",042689883,,2,,2,,2,,2,,1,50000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,1
20220823050347NAL0008955552001,2021-01-01,2021-12-31,002,041782600,,,,,,,,,,,,,,3941207,14206420,,,,177834932,,589552,18404036,,,214976147,,,,,0,214976147,,,,,,,,,,,,,,4378852,11866186,,,,217095377,,580252,20234012,,,254154679,,,,,0,254154679,7758913,10500154,1955263,,20214330,,,,,164510,,164510,,468197,15026558,15494755,,2105024,1008652,1096372,,1200126,1200126,275340,,,,16090401,274809,54810643,15404925,,,15404925,5001,42750,,,,,179435,179435,15632111,39178532,0,0,1,,ERNST & YOUNG LLP,346565596,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,0,0,1
20221006085616NAL0014973521001,2021-01-01,2021-12-31,003,743073286,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,10127525,0,0,10127554,0,0,0,4041647,4041647,6085907,0,0,0,0,67791,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,10841880,0,0,10909671,0,0,0,3895020,3895020,7014651,288999,0,0,0,288999,0,0,0,0,0,0,0,0,67762,0,67762,0,153030,162031,-9001,0,876385,876385,0,0,0,0,0,0,1224145,153029,0,0,153029,0,0,131353,0,0,0,11019,11019,295401,928744,0,0,1,,"GRAY, GRAY & GRAY LLP",042088368,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,0,0,1
