ACK_ID,SCH_I_PLAN_YEAR_BEGIN_DATE,SCH_I_TAX_PRD,SCH_I_PLAN_NUM,SCH_I_EIN,SMALL_TOT_ASSETS_BOY_AMT,SMALL_TOT_LIABILITIES_BOY_AMT,SMALL_NET_ASSETS_BOY_AMT,SMALL_TOT_ASSETS_EOY_AMT,SMALL_TOT_LIABILITIES_EOY_AMT,SMALL_NET_ASSETS_EOY_AMT,SMALL_EMPLR_CONTRIB_INCOME_AMT,SMALL_PARTICIPANT_CONTRIB_AMT,SMALL_OTH_CONTRIB_RCVD_AMT,SMALL_NON_CASH_CONTRIB_BS_AMT,SMALL_OTHER_INCOME_AMT,SMALL_TOT_INCOME_AMT,SMALL_TOT_DISTRIB_BNFT_AMT,SMALL_CORRECTIVE_DISTRIB_AMT,SMALL_DEEM_DSTRB_PARTCP_LN_AMT,SMALL_ADMIN_SRVC_PROVIDERS_AMT,SMALL_OTH_EXPENSES_AMT,SMALL_TOT_EXPENSES_AMT,SMALL_NET_INCOME_AMT,SMALL_TOT_PLAN_TRANSFERS_AMT,SMALL_JOINT_VENTURE_EOY_IND,SMALL_JOINT_VENTURE_EOY_AMT,SMALL_EMPLR_PROP_EOY_IND,SMALL_EMPLR_PROP_EOY_AMT,SMALL_INV_REAL_ESTATE_EOY_IND,SMALL_INV_REAL_ESTATE_EOY_AMT,SMALL_EMPLR_SEC_EOY_IND,SMALL_EMPLR_SEC_EOY_AMT,SMALL_MORTG_PARTCP_EOY_IND,SMALL_MORTG_PARTCP_EOY_AMT,SMALL_OTH_LNS_PARTCP_EOY_IND,SMALL_OTH_LNS_PARTCP_EOY_AMT,SMALL_PERSONAL_PROP_EOY_IND,SMALL_PERSONAL_PROP_EOY_AMT,SMALL_FAIL_TRANSM_CONTRIB_IND,SMALL_FAIL_TRANSM_CONTRIB_AMT,SMALL_LOANS_IN_DEFAULT_IND,SMALL_LOANS_IN_DEFAULT_AMT,SMALL_LEASES_IN_DEFAULT_IND,SMALL_LEASES_IN_DEFAULT_AMT,SM_PARTY_IN_INT_NOT_RPTD_IND,SM_PARTY_IN_INT_NOT_RPTD_AMT,SMALL_PLAN_INS_FDLTY_BOND_IND,SMALL_PLAN_INS_FDLTY_BOND_AMT,SMALL_LOSS_DISCV_DUR_YEAR_IND,SMALL_LOSS_DISCV_DUR_YEAR_AMT,SMALL_ASSET_UNDETERM_VAL_IND,SMALL_ASSET_UNDETERM_VAL_AMT,SMALL_NON_CASH_CONTRIB_IND,SMALL_NON_CASH_CONTRIB_AMT,SMALL_20_PRCNT_SNGL_INVST_IND,SMALL_20_PRCNT_SNGL_INVST_AMT,SMALL_ALL_PLAN_AST_DISTRIB_IND,SM_WAIV_ANNUAL_IQPA_REPORT_IND,SM_FAIL_PROVIDE_BENEF_DUE_IND,SM_FAIL_PROVIDE_BENEF_DUE_AMT,SMALL_PLAN_BLACKOUT_PERIOD_IND,SM_COMPLY_BLACKOUT_NOTICE_IND,SMALL_RES_TERM_PLAN_ADPT_IND,SMALL_RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,SMALL_COVERED_PBGC_INS_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHONE_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER
20200506075438NAL0009063571001,2019-01-01,2019-12-31,002,043297570,207424,0,207424,151987,,151987,,,,,-28644,-28644,26793,,,,,26793,-55437,,2,,2,,2,,1,145920,2,,2,,2,,2,,2,,2,,2,,1,340000,2,,2,,2,,1,145920,2,1,2,,2,,2,,,,,,,,,,,,,
20200624142203NAL0003574736001,2019-01-01,2019-12-31,001,041110170,796552,0,796552,811135,0,811135,0,0,0,0,19753,19753,5170,0,0,0,0,5170,14583,0,2,,2,,2,,1,811135,2,,2,,2,,2,,2,,2,,2,,1,200000,2,,2,,2,,1,811135,2,1,2,,2,,2,,,,,,,,,,,,,
20210208110415NAL0008033874001,2019-01-01,2019-12-31,001,042372206,20230074,,20230074,22909251,,22909251,271660,408535,,,3801698,4481893,1765011,,,,37705,1802716,2679177,,2,,2,,2,,1,14305285,1,119686,2,,2,,2,,2,,2,,2,,1,1500000,2,,2,,2,,1,14305285,2,1,2,,2,,2,,,,,,,,,,,,,
20210301091423NAL0013540080001,2019-10-01,2020-09-30,002,042471226,5658580,,5658580,6992582,,6992582,31800,,,,2341698,2373498,1039496,,,,,1039496,1334002,,2,,2,,2,,1,6992582,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,6992582,2,1,2,,2,,2,,,,,,,,,,,,,
20210329112521NAL0024018242001,2019-10-01,2020-09-30,002,042556035,1225688,,1225688,1678529,2837,1675692,38498,,,,433893,472391,22387,,,,,22387,450004,,2,,2,,2,,1,990585,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,990585,2,1,2,,2,,2,,,,,,,,,,,,,
20210203122605NAL0011833137001,2019-10-01,2020-09-30,003,042699206,318008,,318008,319515,,319515,,,,,22324,22324,20817,,,,,20817,1507,,2,,2,,2,,1,319515,2,,2,,2,,2,,2,,2,,2,,1,275000,2,,2,,2,,1,319515,2,1,2,,2,,2,,,,,,,,,,,,,
20210203152352NAL0022584896001,2019-11-01,2020-10-31,002,042745661,435686,,435686,413125,,413125,,,,,-13913,-13913,8648,,,,,8648,-22561,,2,,2,,2,,1,413124,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,413124,2,1,2,,2,,2,,,,,,,,,,,,,
20200721082244NAL0001602769001,2019-01-01,2019-12-31,001,043577380,2391378,0,2391378,2506267,0,2506267,245000,,,,50428,295428,180539,,,,,180539,114889,,2,,2,,2,,1,2128000,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2128000,2,1,2,,2,,2,,,,,,,,,,,,,
20210304152220NAL0001486625001,2019-11-01,2020-10-31,002,043448069,2480489,8401201,-5920712,5410609,8021359,-2610750,701832,,,,2860000,3561832,,,,,251870,251870,3309962,,2,,2,,2,,1,5340000,2,,2,,2,,2,,2,,2,,2,,1,400000,2,,2,,2,,1,5340000,2,1,2,,2,,2,,,,,,,,,,,,,
20201114113241NAL0040132274001,2019-07-01,2020-06-30,001,042298684,2415740,0,2415740,3705053,0,3705053,0,,,,1289313,1289313,,,,,,0,1289313,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,2,,2,1,2,,2,,1,0,,,,,,,,,,,,
20211220114435NAL0003516003001,2019-11-01,2020-10-31,002,042170946,681242,,681242,652088,,652088,55604,,,,-28003,27601,56755,,,,,56755,-29154,,2,,2,,2,,1,597243,2,,2,,2,,2,,2,,2,,2,,1,100000,2,,2,,2,,1,597243,2,1,2,,2,,2,,,,,,,,,,,,,
