bucket,sponsor_name,city,ein,plan_num,source,participants,detail
NEW,"BOSTONBEAN COFFEE COMPANY, INC.",WOBURN,043444078,002,F_5500,76.0,
NEW,"HELICAL DRILLING, INC.",BRAINTREE,364615460,002,F_5500,92.0,
NEW,"WILDLIFE ACOUSTICS, INC.",MAYNARD,200508239,001,F_5500,31.0,
NEW,"FE HOLDINGS, INC.",MANSFIELD,921304786,001,F_5500,71.0,
RETURNING,EASTERN BANK,BOSTON,043067724,003,F_5500,2202.0,
RETURNING,"SPECTRAL SCIENCES, INC.",BURLINGTON,042718570,003,F_5500,46.0,
RETURNING,THE GILLETTE COMPANY LLC,BOSTON,813268325,007,F_5500,1168.0,
RETURNING,"CENTRAL COATING TECHNOLOGIES, INC.",WEST BOYLSTON,042514329,003,F_5500,58.0,
RETURNING,"CAPE COD LUMBER CO., INC.",ABINGTON,042272126,004,F_5500,97.0,
RETURNING,"BROOKLINE BANCORP, INC",BOSTON,043402944,003,F_5500,926.0,
RETURNING,"SPAULDING BRICK CO., INC.",WILMINGTON,041203530,002,F_5500,47.0,
RETURNING,"PRELLWITZ/CHILINSKI ASSOCIATES, INC.",CAMBRIDGE,042887710,002,F_5500,93.0,
RETURNING,"OEM CONNECT, LTD.",BILLERICA,043223296,002,F_5500,37.0,
RETURNING,"PROCESS COOLING SYSTEMS, INC.",LEOMINSTER,042760904,003,F_5500,70.0,
RETURNING,"NEVO TECHNOLOGIES, INC",CAMBRIDGE,043347358,003,F_5500,20.0,
RETURNING,"NORTHERN CONSTRUCTION HOLDING, INC. ESOP",PALMER,043298009,003,F_5500,50.0,
RETURNING,WRIGHT ARCHITECTURAL MILLWORK CORP.,CHICOPEE,043038026,002,F_5500,74.0,
RETURNING,BROCKWAY-SMITH COMPANY,ANDOVER,041123740,003,F_5500,66.0,
RETURNING,"CHMWARNICK, INC.",BEVERLY,473752261,002,F_5500,32.0,
RETURNING,"DIETZ & COMPANY ARCHITECTS, INC.",SPRINGFIELD,043177356,002,F_5500,28.0,
RETURNING,DIAMOND ANTENNA AND MICROWAVE CORPORATION,LITTLETON,043247749,003,F_5500,90.0,
RETURNING,EVERETT CO-OPERATIVE BANK,EVERETT,041294820,001,F_5500,69.0,
DB_ONLY,"MASS. BAY BREWING COMPANY, INC.",BOSTON,42925204,002,db,11,not in fresh bulk
DB_ONLY,B & B ENGINEERING CORPORATION,GEORGETOWN,42501424,002,db,27,not in fresh bulk
