filing_year,ma_plan_count,ma_esop_count,ma_ksop_count,ma_total_participants,ma_active_participants,ma_total_assets,ma_avg_plan_assets,ma_total_contributions,ma_avg_participants,ma_total_benefits_paid,ma_total_employer_securities,us_total_esop_count,us_total_participants,us_total_assets
2014,121,118,3,26350,17756,1835107704.0,15166179.371900827,59034249.0,217.76859504132233,167820359.0,1371808762.0,0,0,0.0
2015,124,121,3,26309,17228,1868012123.0,15064613.89516129,61469983.0,212.16935483870967,137723404.0,1450618420.0,0,0,0.0
2016,128,125,3,25736,17778,1777720988.0,13888445.21875,71332247.0,201.0625,189932224.0,1310105136.0,0,0,0.0
2017,123,121,2,25246,17795,2016054977.0,16390690.869918698,72696454.0,205.2520325203252,110666017.0,1503159765.0,0,0,0.0
2018,118,117,1,25403,17806,2198706990.0,18633110.08474576,74552330.0,215.27966101694915,271289013.0,1671801107.0,0,0,0.0
2019,119,117,2,26112,17928,2677654737.0,22501300.31092437,79544825.0,219.42857142857142,181889812.0,1940301763.0,0,0,0.0
2020,127,125,2,29366,20049,3455655769.0,27209887.94488189,94985913.0,231.22834645669292,111488848.0,2431807787.0,0,0,0.0
2021,122,120,2,30424,19677,4879912335.0,39999281.43442623,99060853.0,249.37704918032787,648174249.0,3736242040.0,0,0,0.0
2022,130,127,3,31373,19351,3858052033.0,29677323.33076923,124372044.0,241.33076923076922,754868599.0,2786467483.0,0,0,0.0
2023,131,126,5,33014,21658,3960685364.0,30234239.41984733,134697701.0,252.01526717557252,309094426.0,2891065626.0,6609,15100000,2100000000000.0
2024,128,122,6,28506,17011,3503651153.0,27372274.6328125,118907503.0,222.703125,424291170.0,2489022553.0,0,0,0.0
