filing_year,ein,plan_num,plan_name,sponsor_name,sponsor_city,sponsor_state,sponsor_zip,type_plan_entity,type_pension_bnft,is_esop,is_ksop,total_participants,active_participants,total_assets,total_liabilities,employer_contributions,participant_contributions,benefits_paid,net_income,employer_securities,naics_code,industry_sector,plan_eff_date
2014,10367721,2,"NEW ENGLAND NATURAL BAKERS, INC. EMPLOYEE STOCK OWNERSHIP PLAN","New England Natural Bakers, Inc.",Greenfield,MA,1301,2,,1,0,45,41,1320000.0,3035886.0,209693.0,,3.0,93622.0,,311800,Manufacturing,2012-01-01
2014,113672395,2,ARTEL VIDEO SYSTEMS CORPORATION EMPLOYEE STOCK OWNERSHIP PLAN,Artel Video Systems Corporation,Westford,MA,18863617,2,,1,0,40,37,4532000.0,8296763.0,921862.0,0.0,0.0,-3764763.0,,334310,Manufacturing,2014-01-01
2014,201998367,2,"WESTON & SAMPSON, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Weston & Sampson, Inc.",Peabody,MA,1960,2,,1,0,338,298,1000000.0,0.0,1000000.0,,0.0,1000000.0,,541330,Professional & Technical Services,2014-01-01
2014,203724403,2,VERTEX EMPLOYEE STOCK OWNERSHIP PLAN,Vertex,Weymouth,MA,2189,2,,1,0,230,206,14480000.0,23616543.0,1443003.0,,0.0,4917760.0,14480000.0,541330,Professional & Technical Services,2013-01-01
2014,261697053,2,SCC AND INTEGRATED IT HOLDING CORP EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST,Scc And Integrated It Holding Corp,Waltham,MA,24511703,2,,1,0,130,87,25560101.0,10338208.0,1157609.0,0.0,0.0,3373378.0,25560000.0,,,2008-01-01
2014,311060347,1,STEVENSON & ASSOCIATES ESOP,Stevenson & Associates,Woburn,MA,18018804,2,,1,0,51,50,5985690.0,155980.0,300000.0,,205980.0,950366.0,,,,1989-01-01
2014,41078435,3,BELMONT SAVINGS BANK EMPLOYEE STOCK OWNERSHIP PLAN,Belmont Savings Bank,Belmont,MA,24782518,2,,1,0,115,92,8499934.0,4275302.0,239896.0,0.0,41256.0,1659395.0,,,,2011-01-01
2014,41110170,1,BOURNEUF CORPORATION EMPLOYEE STOCK OWNERSHIP PLAN,Bourneuf Corporation,Lynn,MA,1902,2,,1,0,22,18,762986.0,0.0,135754.0,,,49015.0,,423700,Wholesale Trade,1997-09-01
2014,41123740,3,BROCKWAY-SMITH COMPANY EMPLOYEE STOCK OWNERSHIP PLAN & TRUST,Brockway-Smith Company,Wilmington,MA,18871018,2,,1,0,116,98,5399994.0,,,,200701.0,563526.0,4501016.0,423300,Wholesale Trade,1976-01-01
2014,41174490,3,CHICOPEE SAVINGS BANK EMPLOYEE STOCK OWNERSHIP PLAN,Chicopee Savings Bank,Chicopee,MA,1014,2,,1,0,146,118,9284886.0,4173414.0,491694.0,,166490.0,-247186.0,9198610.0,,,2006-01-01
